CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000b20aQUAQ,427 E 13TH ST,,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.50727102,39.1103419800299,,PENDLETON,PENDLETON,438253
a0F4W00000b20b4UAA,986 DANA AV,07/28/2022 12:00:00 AM,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.48132251,39.1508014000299,,NORTH AVONDALE,NORTH AVONDALE,517390
a0F4W00000b20bdUAA,11 E COURT ST,07/19/2022 12:00:00 AM,REHAB,220790,10,62311.19792226,NOT CERTIFIED,,,QUALIFIED,-84.51374767,39.1061078000299,,DOWNTOWN CINCINNATI,DOWNTOWN,306169
a0F4W00000b20bnUAA,915 VINE ST,07/26/2022 12:00:00 AM,REHAB,200590,10,56610.36818346,NOT CERTIFIED,,,QUALIFIED,-84.514292,39.105985,,DOWNTOWN CINCINNATI,N/A,213254
a0F4W00000b20bsUAA,4716 WHETSEL AV,08/29/2022 12:00:00 AM,REHAB,226060,10,63798.49360164,NOT CERTIFIED,,,QUALIFIED,-84.39327057,39.1570822100299,,MADISONVILLE,MADISONVILLE,410000
a0F4W00000b20c2UAA,11 E COURT ST,07/25/2022 12:00:00 AM,REHAB,222790,10,62875.63651026,NOT CERTIFIED,,,QUALIFIED,-84.51381827,39.1061156300299,,DOWNTOWN CINCINNATI,DOWNTOWN,311399
a0F4W00000b20cRUAQ,3821 WINDING WY,08/05/2022 12:00:00 AM,REHAB,171960,10,48530.42979624,,,,QUALIFIED,-84.47945303,39.1501085800299,,NORTH AVONDALE,NORTH AVONDALE,255000
a0F4W00000b20cWUAQ,416 E 13TH ST,07/25/2022 12:00:00 AM,REHAB,759500,10,214345.553793,PLATINUM,01/25/2023 12:00:00 AM,,QUALIFIED,-84.50765929,39.1106067200299,,PENDLETON,PENDLETON,1139236
a0F4W00000b20cbUAA,26 W FIFTEENTH ST,08/08/2022 12:00:00 AM,REHAB,206510,10,58281.10640394,NOT CERTIFIED,,,QUALIFIED,-84.516996804878,39.1116244390244,,OVER-THE-RHINE,N/A,169294.94
a0F4W00000b23jeUAA,5912 BRAMBLE AV,09/26/2022 12:00:00 AM,REHAB,108150,10,30522.0166461,NOT CERTIFIED,,,QUALIFIED,-84.39341919,39.1519573000299,,MADISONVILLE,MADISONVILLE,80300
a0F4W00000b23m4UAA,3720 WOODLAND AV,09/09/2022 12:00:00 AM,ADDITION,200000,0,0,NOT CERTIFIED,,,QUALIFIED,-84.43894903,39.1453764700299,,OAKLEY,HYDE PARK - OAKLEY,200000
