FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2024,11/07/2023 12:00:00 AM,24159815.17
2019,11/15/2018 12:00:00 AM,2253445.19
2018,06/27/2018 12:00:00 AM,12299384.54
2020,03/16/2020 12:00:00 AM,1603960.64
2019,02/03/2019 12:00:00 AM,-10679.98
2020,09/30/2019 12:00:00 AM,2392141.88
2020,07/16/2019 12:00:00 AM,1040086.74
2015,09/22/2014 12:00:00 AM,2455533.78
2017,05/04/2017 12:00:00 AM,11258749.61
2022,11/10/2021 12:00:00 AM,8087930.55
2015,06/10/2015 12:00:00 AM,964240.14
2024,10/04/2023 12:00:00 AM,4236094.05
2020,09/25/2019 12:00:00 AM,10506698.9
2021,04/20/2021 12:00:00 AM,1741642.58
2019,07/19/2018 12:00:00 AM,5739299.03
2021,01/29/2021 12:00:00 AM,1942029.88
2020,03/08/2020 12:00:00 AM,2477959.91
2023,09/19/2022 12:00:00 AM,5744284.45
2019,02/25/2019 12:00:00 AM,906761.9
2017,09/28/2016 12:00:00 AM,1662618.17
2018,06/14/2018 12:00:00 AM,2529213.53
2019,06/19/2019 12:00:00 AM,7259623.4
2022,12/21/2021 12:00:00 AM,33343667.78
2018,02/12/2018 12:00:00 AM,915062.35
2023,07/26/2022 12:00:00 AM,2282316.54
2018,08/10/2017 12:00:00 AM,8052222.44
2020,11/05/2019 12:00:00 AM,7481774.15
2020,09/19/2019 12:00:00 AM,1172320.46
2020,10/02/2019 12:00:00 AM,1823428.62
2023,08/11/2022 12:00:00 AM,1754556.6
2019,01/23/2019 12:00:00 AM,2867780.02
2017,12/03/2016 12:00:00 AM,858492.01
2022,01/06/2022 12:00:00 AM,2881265.62
2023,04/03/2023 12:00:00 AM,1557407.65
2021,10/26/2020 12:00:00 AM,2599135.06
2019,07/31/2018 12:00:00 AM,5574424.21
2015,11/02/2014 12:00:00 AM,1605757.95
2020,09/28/2019 12:00:00 AM,240953.62
2017,04/05/2017 12:00:00 AM,7080405.78
2021,11/01/2020 12:00:00 AM,307.3
2024,05/21/2024 12:00:00 AM,37351737.27
2022,02/16/2022 12:00:00 AM,3370788.6
2021,05/09/2021 12:00:00 AM,3078926.56
2019,12/28/2018 12:00:00 AM,696462.2
2017,08/10/2016 12:00:00 AM,945410.43
2023,09/27/2022 12:00:00 AM,33494387.87
2016,06/08/2016 12:00:00 AM,4807590.1
2023,08/29/2022 12:00:00 AM,4075996.39
2021,02/17/2021 12:00:00 AM,4731917.81
2021,02/03/2021 12:00:00 AM,3425802.26
2024,02/02/2024 12:00:00 AM,1297360.51
2015,11/26/2014 12:00:00 AM,45765236.59
2016,10/11/2015 12:00:00 AM,2759583.25
2024,11/03/2023 12:00:00 AM,2592819.8
2018,04/26/2018 12:00:00 AM,2431688.79
2017,04/28/2017 12:00:00 AM,1506088.04
2018,06/08/2018 12:00:00 AM,2293518.03
2015,11/13/2014 12:00:00 AM,9455105.59
2021,08/04/2020 12:00:00 AM,21362174.39
2017,10/04/2016 12:00:00 AM,16202002.66
2018,12/31/2017 12:00:00 AM,320823.84
2016,01/31/2016 12:00:00 AM,0
2018,04/09/2018 12:00:00 AM,2892973.23
2015,10/26/2014 12:00:00 AM,2697841.89
2020,04/20/2020 12:00:00 AM,4678356.71
2016,01/08/2016 12:00:00 AM,434299.41
2020,11/26/2019 12:00:00 AM,35546131.25
2017,10/22/2016 12:00:00 AM,75
2019,06/15/2019 12:00:00 AM,1008110.36
2024,08/12/2023 12:00:00 AM,8843.39
2016,03/28/2016 12:00:00 AM,615108.29
2020,03/13/2020 12:00:00 AM,2992978.52
2015,01/27/2015 12:00:00 AM,25376411.84
2021,07/23/2020 12:00:00 AM,11146944.86
2017,12/20/2016 12:00:00 AM,3428886.34
2024,07/14/2023 12:00:00 AM,6179146
2015,11/06/2014 12:00:00 AM,6782313.5
2023,11/26/2022 12:00:00 AM,93262.01
2015,04/09/2015 12:00:00 AM,2198123.81
2021,03/06/2021 12:00:00 AM,12263.48
2023,09/05/2022 12:00:00 AM,280.48
2017,03/28/2017 12:00:00 AM,3858073.88
2023,01/06/2023 12:00:00 AM,2538216.59
2022,04/13/2022 12:00:00 AM,2659171.2
2023,08/27/2022 12:00:00 AM,19984.38
2015,06/03/2015 12:00:00 AM,4233418.39
2021,12/30/2020 12:00:00 AM,1030694.4
2024,05/16/2024 12:00:00 AM,3731028.36
2021,04/27/2021 12:00:00 AM,28235663.9
2021,09/15/2020 12:00:00 AM,17658555.98
2015,09/14/2014 12:00:00 AM,3658169.98
2023,05/31/2023 12:00:00 AM,2542596.77
2016,12/22/2015 12:00:00 AM,2315308.84
2023,12/16/2022 12:00:00 AM,3637589.07
2019,01/20/2019 12:00:00 AM,-105993.28
2017,07/12/2016 12:00:00 AM,20493368.8
2020,01/17/2020 12:00:00 AM,1007894.52
2022,01/07/2022 12:00:00 AM,1021917.18
2018,10/31/2017 12:00:00 AM,32196301.17
2023,06/01/2023 12:00:00 AM,1448845.61
2024,10/05/2023 12:00:00 AM,4028035.77
2023,07/13/2022 12:00:00 AM,2995235.3
2019,04/16/2019 12:00:00 AM,20839274.99
2017,07/18/2016 12:00:00 AM,-7077127.63
2015,11/20/2014 12:00:00 AM,237892.47
2022,12/01/2021 12:00:00 AM,5988343.65
2015,09/24/2014 12:00:00 AM,7706849.83
2024,08/22/2023 12:00:00 AM,3913168.13
2016,03/17/2016 12:00:00 AM,-1111690.68
2017,05/27/2017 12:00:00 AM,523613.96
2018,11/13/2017 12:00:00 AM,13165770.33
2017,02/25/2017 12:00:00 AM,5288097.76
2021,09/21/2020 12:00:00 AM,1802713.42
2019,12/09/2018 12:00:00 AM,2620586.21
2024,09/22/2023 12:00:00 AM,2248111.13
2023,06/05/2023 12:00:00 AM,2849931.19
2024,03/29/2024 12:00:00 AM,2968014.35
2023,01/30/2023 12:00:00 AM,826239.68
