Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
86,Wednesday Jul 3,boxscore,CIN,@,NYY,W,3,2,,41-45,4,10.5,Abbott,Rodón,Díaz,2:37,N,47646,.51,++,
87,Thursday Jul 4,boxscore,CIN,@,NYY,W,8,4,,42-45,3,9.5,Montas,Stroman,,2:56,D,43154,.53,+++,
88,Friday Jul 5,boxscore,CIN,,DET,L,4,5,,42-46,4,9.5,Olson,Spiers,Foley,2:44,N,40663,.60,-,
89,Saturday Jul 6,boxscore,CIN,,DET,L,3,5,,42-47,4,9.5,Miller,Cruz,Chafin,2:45,D,31464,.53,--,
90,Sunday Jul 7,boxscore,CIN,,DET,L,1,5,,42-48,4,10.5,Skubal,Ashcraft,,2:19,D,25451,.48,---,
91,Monday Jul 8,boxscore,CIN,,COL,W,6,0,,43-48,4,10.0,Abbott,Feltner,,2:20,N,15873,.39,+,
92,Tuesday Jul 9,boxscore,CIN,,COL,W,12,6,,44-48,4,9.0,Martinez,Quantrill,,3:00,N,17542,.44,++,
93,Wednesday Jul 10,boxscore,CIN,,COL,L,5,6,,44-49,4,10.0,Freeland,Montas,Beeks,2:27,N,16836,.49,-,
94,Thursday Jul 11,boxscore,CIN,,COL,W,8,1,,45-49,4,9.0,Greene,Gomber,,2:38,D,20766,.47,+,
95,Friday Jul 12,boxscore,CIN,,MIA,W,7,4,,46-49,4,8.0,Spiers,Chirinos,,2:24,N,31326,.53,++,
96,Saturday Jul 13,boxscore,CIN,,MIA,W,10,6,,47-49,4,7.0,Moll,Cabrera,,2:46,D,26219,.58,+++,
97,Sunday Jul 14,boxscore,CIN,,MIA,L,2,3,,47-50,4,8.0,Puk,Cruz,Scott,2:44,D,28514,.63,-,
98,Friday Jul 19,boxscore,CIN,@,WSN,L,5,8,,47-51,4,8.5,Corbin,Montas,Finnegan,2:55,N,38402,.58,--,
99,Saturday Jul 20,boxscore,CIN,@,WSN,L,4,5,,47-52,4,9.5,Law,Wilson,Finnegan,2:49,N,32734,.55,---,
100,Sunday Jul 21,boxscore,CIN,@,WSN,L,2,5,,47-53,5,10.5,Garcia,Sims,Finnegan,2:22,D,23967,.42,----,
101,Monday Jul 22,boxscore,CIN,@,ATL,W,4,1,,48-53,5,9.5,Greene,López,,2:27,N,38779,.40,+,
102,Wednesday Jul 24,boxscore,CIN,@,ATL,W,9,4,,49-53,4,10.0,Moll,Winans,,2:49,D,34407,,++,
103,Friday Jul 26,boxscore,CIN,@,TBR,W,3,2,10,50-53,4,9.0,Martinez,Rodríguez,Díaz,2:43,N,20441,.44,+++,
104,Saturday Jul 27,boxscore,CIN,@,TBR,L,0,4,,50-54,4,9.0,Littell,Abbott,,2:22,D,23464,.51,-,
105,Sunday Jul 28,boxscore,CIN,@,TBR,L,1,2,,50-55,4,10.0,Cleavinger,Cruz,Fairbanks,2:29,D,19873,.44,--,
106,Monday Jul 29,boxscore,CIN,,CHC,W,7,1,,51-55,4,10.0,Spiers,Taillon,,2:25,N,21837,.39,+,
